id,name,year,domain,category,platform_group,engine,ros,access_as_reported,terrain,sensors,publication_url,resource_url,resource_type,paper_reference,evidence,note,title,author,doi,eprint,publication_last_checked,publication_check_result,publication_confirmed_reachable_on,resource_last_checked,resource_check_result,resource_confirmed_reachable_on
RLRoverLAB2024,RLRoverLab,2024,Lu./Ma.,Rover,Rover-relevant,Isaac Sim,,Direct,Synthetic,RGB Cam,https://doi.org/10.1109/iSpaRo60631.2024.10687686,https://github.com/abmoRobotics/RLRoverLab,Repository,20,"Survey Table I, p. 4; bibliography reference [20]. Capabilities are transcribed from the survey, not independently benchmarked.",,RLRoverLAB: An Advanced Reinforcement Learning Suite for Planetary Rover Simulation and Training,"Mortensen, Anton Bjørndahl and Bøgh, Simon",10.1109/iSpaRo60631.2024.10687686,,2026-09-09T03:19:26+00:00,response_unconfirmed,,2026-09-09T03:19:28+00:00,reachable,2026-09-09
LunarRoverSim2024,LunarRoverSim,2024,Lunar,Rover,Rover-relevant,PyBullet,,Direct,Config. lunar,RGB-D + Seg,https://doi.org/10.1109/CACRE62362.2024.10634867,https://github.com/assawayut/LunarRoverSim,Repository,17,"Survey Table I, p. 4; bibliography reference [17]. Capabilities are transcribed from the survey, not independently benchmarked.",,Development of a Lunar Rover Simulator with an Interface for Reinforcement Learning,"Khunmaturod, Assawayut and Chang, Dong",10.1109/CACRE62362.2024.10634867,,2026-09-09T03:19:24+00:00,response_unconfirmed,,2026-09-09T03:19:28+00:00,reachable,2026-09-09
ISMRS2024,ISMRS,2024,Mars,Rover,Rover-relevant,Isaac Sim,R2,No release listed,Real,"St Cam, IMU, LiDAR, Enc",https://doi.org/10.21203/rs.3.rs-4851864/v1,,,29,"Survey Table I, p. 4; bibliography reference [29]. Capabilities are transcribed from the survey, not independently benchmarked.",,High fidelity Mars Rover simulation platform based on digital twin and machine learning integration: Innovation and application of ISMRS,"Wan, Gang and others",10.21203/rs.3.rs-4851864/v1,,2026-09-09T03:19:26+00:00,reachable,2026-09-09,,,
GUISS2024,GUISS,2024,Icy moon,Rover-relevant,Rover-relevant,Blender-based,,Direct,Synthetic,Stereo imagery,https://doi.org/10.1109/aero58975.2024.10521439,https://github.com/nasa-jpl/guiss,Repository,21,"Survey Table I, p. 4; bibliography reference [21]. Capabilities are transcribed from the survey, not independently benchmarked.",,Icy Moon Surface Simulation and Stereo Depth Estimation for Sampling Autonomy,"Bhaskara, Ramchander and others",10.1109/aero58975.2024.10521439,,2026-09-09T03:19:26+00:00,response_unconfirmed,,2026-09-09T03:19:28+00:00,reachable,2026-09-09
Chrono2024,Batagoda et al.,2025,Lunar,Excavator,Construction,Chrono,R2,Direct,Real (Earth),"Cam, sensor sim.",https://doi.org/10.1109/AERO63441.2025.11068496,https://github.com/projectchrono/chrono,Engine repository,14,"Survey Table I, p. 4; bibliography reference [14]. Capabilities are transcribed from the survey, not independently benchmarked.",The linked repository is the public Chrono engine basis; it does not establish release of the study-specific experiments.,A Physics-Based Sensor Simulation Environment for Lunar Ground Operations,"Batagoda, Nevindu M. and others",10.1109/AERO63441.2025.11068496,,2026-09-09T03:19:23+00:00,response_unconfirmed,,2026-09-09T03:19:28+00:00,reachable,2026-09-09
LuSeg2025,LuSeg/LESS,2025,Lunar,Rover,Rover-relevant,UE + AirSim,R1/R2,Direct,,RGB-D + Seg,https://doi.org/10.1109/IROS60139.2025.11246916,https://github.com/nubot-nudt/LuSeg,Repository,18,"Survey Table I, p. 4; bibliography reference [18]. Capabilities are transcribed from the survey, not independently benchmarked.",,LuSeg: Efficient Negative and Positive Obstacles Segmentation via Contrast-Driven Multi-Modal Feature Fusion on the Lunar,"Jiao, Shuaifeng and others",10.1109/IROS60139.2025.11246916,,2026-09-09T03:19:24+00:00,response_unconfirmed,,2026-09-09T03:19:28+00:00,reachable,2026-09-09
Mattias2025,Linde et al.,2025,Lunar,Exc./Truck,Construction,AGX Dynamics,R2,No release listed,Synthetic,Observation sensor,https://arxiv.org/abs/2505.22091,,,15,"Survey Table I, p. 4; bibliography reference [15]. Capabilities are transcribed from the survey, not independently benchmarked.",,A simulation framework for autonomous lunar construction work,Mattias Linde and others,,2505.22091,2026-09-09T03:19:23+00:00,reachable,2026-09-09,,,
Daniel2025,Lindmark et al.,2025,Lunar,Rover,Rover-relevant,OpenPLX + AGX,R2,No release listed,LDEM-derived,"RGB-D, LiDAR, IMU",https://arxiv.org/abs/2509.12367,,,11,"Survey Table I, p. 4; bibliography reference [11]. Capabilities are transcribed from the survey, not independently benchmarked.",,An integrated process for design and control of lunar robotics using AI and simulation,Daniel Lindmark and others,,2509.12367,2026-09-09T03:19:23+00:00,reachable,2026-09-09,,,
PlanetaryPathBench2025,PlanetaryPathBench,2025,Ma./Lu.,Rover-relevant,Rover-relevant,Benchmark maps,,Direct,Real/DEM,Occupancy maps,https://arxiv.org/abs/2512.21438,https://github.com/mchancan/PlanetaryPathBench,Repository,22,"Survey Table I, p. 4; bibliography reference [22]. Capabilities are transcribed from the survey, not independently benchmarked.",,Planetary Terrain Datasets and Benchmarks for Rover Path Planning,Marvin Chancán and others,,2512.21438,2026-09-09T03:19:23+00:00,reachable,2026-09-09,2026-09-09T03:19:28+00:00,reachable,2026-09-09
MARTIAN2026,MARTIAN,2026,Mars,Aerial,Aerial,Blender,,Direct,Real map,Aerial RGB + pose,https://arxiv.org/abs/2605.29647,https://github.com/nasa-jpl/martian,Repository,26,"Survey Table I, p. 4; bibliography reference [26]. Capabilities are transcribed from the survey, not independently benchmarked.",,MARTIAN: A Rendering Framework for Aerial Mars Imagery from HiRISE Orbital Data,Dario Pisanti and Georgios Georgakis,,2605.29647,2026-09-09T03:19:23+00:00,reachable,2026-09-09,2026-09-09T03:19:28+00:00,reachable,2026-09-09
POLARSim2026,POLAR-Sim,2026,Lunar,Rover,Rover-relevant,Chrono,,Direct,Real + synth.,"RGB, annotations, terrain meshes",https://doi.org/10.1109/MAES.2025.3617426,https://github.com/uwsbel/POLAR-Sim,Repository,12,"Survey Table I, p. 4; bibliography reference [12]. Capabilities are transcribed from the survey, not independently benchmarked.",,POLAR-Sim: Augmenting NASA's POLAR Dataset for Data-Driven Lunar Perception and Rover Simulation,"Chen, Bo-Hsun and others",10.1109/MAES.2025.3617426,,2026-09-09T03:19:25+00:00,response_unconfirmed,,2026-09-09T03:19:28+00:00,reachable,2026-09-09
DualSim2026,Kurt et al.,2026,Lunar,Rover,Rover-relevant,MuJoCo + Isaac,,No release listed,Synthetic,RGB-D + pose,,,,19,"Survey Table I, p. 4; bibliography reference [19]. Capabilities are transcribed from the survey, not independently benchmarked.",No persistent publication URL is recorded in the supplied bibliography. A title search during this update did not establish one.,A Dual-Simulator Framework for Physics Based Locomotion and Vision Based Navigation of Planetary Rovers,Umut Kurt and others,,,,,,,,
